iter	Passed	Remaining
0	135	135212
1	137	68473
2	139	46203
3	140	35070
4	142	28394
5	144	23928
6	146	20756
7	148	18383
8	150	16520
9	151	15027
10	153	13805
11	155	12789
12	157	11929
13	158	11191
14	160	10548
15	162	9986
16	164	9490
17	165	9051
18	167	8655
19	169	8301
20	171	7980
21	172	7687
22	174	7422
23	176	7184
24	178	6961
25	180	6751
26	182	6560
27	183	6379
28	185	6210
29	187	6057
30	189	5909
31	190	5776
32	192	5647
33	194	5526
34	196	5413
35	198	5304
36	199	5201
37	201	5107
38	203	5013
39	205	4927
40	207	4849
41	209	4775
42	211	4699
43	212	4626
44	214	4556
45	216	4490
46	218	4425
47	220	4365
48	221	4305
49	223	4247
50	225	4192
51	227	4138
52	228	4086
53	230	4036
54	232	3988
55	233	3933
56	235	3889
57	236	3846
58	238	3805
59	240	3764
60	241	3725
61	243	3686
62	245	3650
63	247	3614
64	248	3581
65	250	3548
66	252	3515
67	254	3484
68	255	3453
69	257	3423
70	259	3393
71	261	3364
72	262	3338
73	264	3311
74	266	3285
75	268	3259
76	269	3234
77	271	3209
78	273	3185
79	274	3161
80	276	3138
81	278	3118
82	280	3097
83	282	3076
84	283	3056
85	285	3035
86	287	3015
87	289	2996
88	290	2976
89	292	2957
90	294	2938
91	295	2920
92	297	2902
93	299	2884
94	301	2867
95	302	2850
96	304	2833
97	306	2818
98	307	2803
99	309	2788
100	311	2774
101	313	2760
102	315	2745
103	317	2731
104	318	2716
105	320	2703
106	322	2689
107	323	2675
108	325	2661
109	327	2647
110	328	2634
111	330	2621
112	332	2608
113	334	2595
114	336	2585
115	338	2578
116	340	2567
117	342	2556
118	343	2545
119	345	2534
120	347	2523
121	349	2513
122	351	2503
123	352	2493
124	354	2483
125	355	2467
126	357	2456
127	359	2446
128	360	2436
129	362	2427
130	363	2411
131	365	2403
132	367	2393
133	368	2384
134	370	2374
135	372	2365
136	374	2356
137	375	2346
138	377	2337
139	379	2329
140	381	2321
141	382	2312
142	384	2303
143	386	2295
144	387	2286
145	389	2278
146	391	2270
147	393	2263
148	394	2255
149	396	2247
150	398	2239
151	400	2231
152	401	2224
153	403	2216
154	405	2208
155	406	2201
156	408	2194
157	410	2187
158	412	2180
159	413	2173
160	415	2166
161	417	2159
162	419	2153
163	421	2147
164	423	2141
165	425	2135
166	426	2129
167	428	2123
168	430	2117
169	432	2111
170	434	2105
171	436	2099
172	437	2093
173	439	2086
174	441	2080
175	443	2074
176	444	2067
177	446	2061
178	448	2055
179	450	2050
180	451	2045
181	453	2039
182	455	2034
183	457	2029
184	459	2023
185	460	2017
186	462	2012
187	464	2008
188	466	2003
189	468	1997
190	470	1992
191	472	1986
192	473	1980
193	475	1975
194	477	1969
195	479	1964
196	480	1959
197	482	1954
198	484	1948
199	485	1943
200	487	1937
201	489	1932
202	490	1927
203	492	1921
204	494	1916
205	495	1911
206	497	1906
207	499	1901
208	501	1896
209	502	1891
210	504	1886
211	506	1882
212	508	1877
213	509	1872
214	511	1867
215	513	1862
216	514	1857
217	516	1852
218	518	1848
219	519	1843
220	521	1839
221	523	1834
222	525	1830
223	526	1825
224	528	1820
225	530	1815
226	531	1811
227	533	1806
228	535	1802
229	537	1798
230	538	1793
231	540	1789
232	542	1784
233	543	1780
234	545	1776
235	547	1771
236	549	1767
237	550	1763
238	552	1759
239	554	1755
240	555	1750
241	557	1746
242	559	1742
243	561	1738
244	562	1734
245	564	1730
246	566	1726
247	567	1721
248	569	1717
249	571	1713
250	572	1709
251	574	1705
252	576	1701
253	578	1697
254	579	1694
255	581	1690
256	583	1687
257	585	1683
258	587	1679
259	588	1676
260	590	1672
261	592	1669
262	594	1667
263	596	1663
264	598	1660
265	600	1656
266	602	1652
267	603	1649
268	605	1645
269	607	1641
270	609	1638
271	610	1634
272	612	1631
273	614	1627
274	615	1623
275	617	1620
276	619	1616
277	621	1613
278	622	1609
279	624	1605
280	626	1602
281	627	1598
282	629	1595
283	631	1591
284	632	1587
285	634	1584
286	636	1580
287	638	1577
288	639	1574
289	641	1570
290	643	1567
291	644	1563
292	646	1560
293	648	1556
294	649	1553
295	651	1549
296	653	1546
297	654	1542
298	656	1539
299	658	1536
300	660	1532
301	661	1529
302	663	1526
303	665	1522
304	666	1519
305	668	1516
306	670	1513
307	672	1509
308	673	1506
309	675	1503
310	677	1500
311	678	1497
312	680	1494
313	682	1490
314	684	1487
315	685	1484
316	687	1480
317	689	1477
318	690	1474
319	692	1471
320	694	1468
321	695	1465
322	697	1462
323	699	1458
324	700	1455
325	702	1452
326	704	1449
327	706	1446
328	707	1443
329	709	1440
330	711	1437
331	712	1434
332	714	1431
333	716	1428
334	718	1425
335	721	1425
336	723	1422
337	725	1420
338	726	1417
339	728	1414
340	730	1411
341	732	1408
342	734	1406
343	735	1403
344	737	1400
345	739	1397
346	740	1394
347	742	1391
348	744	1388
349	746	1385
350	747	1382
351	749	1380
352	751	1377
353	753	1374
354	755	1371
355	756	1368
356	758	1365
357	760	1363
358	761	1360
359	763	1357
360	765	1354
361	767	1351
362	768	1349
363	770	1346
364	772	1343
365	773	1340
366	775	1337
367	777	1335
368	779	1332
369	780	1329
370	782	1326
371	784	1323
372	785	1321
373	787	1318
374	789	1315
375	791	1313
376	793	1310
377	794	1307
378	796	1305
379	798	1302
380	799	1299
381	801	1296
382	803	1294
383	805	1291
384	806	1288
385	808	1286
386	810	1284
387	812	1281
388	814	1278
389	815	1276
390	817	1273
391	819	1270
392	821	1268
393	822	1265
394	824	1262
395	826	1260
396	827	1257
397	829	1254
398	831	1252
399	832	1249
400	834	1246
401	836	1244
402	838	1241
403	839	1239
404	841	1236
405	843	1233
406	844	1231
407	846	1228
408	848	1225
409	850	1223
410	852	1221
411	853	1218
412	855	1216
413	857	1213
414	859	1211
415	861	1209
416	863	1206
417	865	1204
418	866	1201
419	868	1199
420	870	1197
421	872	1195
422	874	1192
423	876	1190
424	878	1187
425	879	1185
426	881	1183
427	883	1180
428	885	1178
429	887	1175
430	888	1173
431	890	1171
432	892	1168
433	894	1166
434	895	1163
435	897	1161
436	899	1158
437	901	1156
438	903	1154
439	904	1151
440	906	1149
441	908	1146
442	910	1144
443	911	1141
444	913	1139
445	915	1137
446	917	1135
447	919	1132
448	921	1130
449	923	1128
450	925	1126
451	926	1123
452	928	1121
453	930	1118
454	932	1116
455	934	1114
456	936	1112
457	937	1109
458	939	1107
459	941	1105
460	943	1103
461	945	1100
462	947	1098
463	949	1096
464	951	1094
465	952	1091
466	954	1089
467	956	1087
468	958	1084
469	960	1082
470	961	1080
471	963	1077
472	965	1075
473	967	1073
474	969	1071
475	970	1068
476	972	1066
477	975	1064
478	977	1062
479	979	1060
480	981	1058
481	983	1056
482	984	1054
483	986	1051
484	988	1049
485	990	1047
486	991	1044
487	993	1042
488	995	1040
489	997	1038
490	999	1035
491	1001	1033
492	1002	1031
493	1004	1028
494	1006	1026
495	1007	1024
496	1009	1021
497	1011	1019
498	1012	1017
499	1014	1014
500	1016	1012
501	1017	1009
502	1019	1007
503	1021	1005
504	1023	1002
505	1024	1000
506	1026	998
507	1028	995
508	1029	993
509	1031	991
510	1033	988
511	1035	986
512	1037	984
513	1038	982
514	1040	979
515	1041	977
516	1043	975
517	1045	972
518	1047	970
519	1048	968
520	1050	965
521	1052	963
522	1054	961
523	1055	959
524	1057	956
525	1059	954
526	1060	952
527	1062	949
528	1064	947
529	1066	945
530	1067	943
531	1069	940
532	1071	938
533	1072	936
534	1074	934
535	1076	931
536	1078	929
537	1079	927
538	1081	925
539	1083	922
540	1084	920
541	1086	918
542	1088	916
543	1090	913
544	1091	911
545	1093	909
546	1095	907
547	1097	904
548	1098	902
549	1100	900
550	1102	898
551	1103	895
552	1105	893
553	1107	891
554	1109	889
555	1111	887
556	1114	886
557	1116	884
558	1117	881
559	1119	879
560	1121	877
561	1123	875
562	1124	873
563	1126	870
564	1128	868
565	1129	866
566	1131	864
567	1133	862
568	1135	859
569	1136	857
570	1138	855
571	1140	853
572	1142	851
573	1143	848
574	1145	846
575	1147	844
576	1148	842
577	1150	840
578	1152	837
579	1154	835
580	1155	833
581	1157	831
582	1159	829
583	1160	826
584	1162	824
585	1164	822
586	1166	820
587	1168	818
588	1170	816
589	1171	814
590	1173	812
591	1175	809
592	1176	807
593	1178	805
594	1180	803
595	1181	801
596	1183	799
597	1185	796
598	1187	794
599	1188	792
600	1190	790
601	1192	788
602	1194	786
603	1195	784
