iter	RMSE
0	43192963.58
1	42150301.72
2	41087770.81
3	40270158.83
4	39310934.73
5	38464089.48
6	37610732.8
7	36830598.12
8	36001471.98
9	35281924.97
10	34541988.38
11	33936799.5
12	33314414.11
13	32691464.01
14	32027587.5
15	31456767.08
16	30822347.5
17	30407580.39
18	29846733.43
19	29350246.38
20	28912340.4
21	28485495.92
22	27981635.41
23	27548500.96
24	27097229.15
25	26719067.94
26	26310694.3
27	25967997.01
28	25606092.83
29	25243764.6
30	24870105.69
31	24563881.41
32	24272760.15
33	23895757.68
34	23575671.74
35	23319374.27
36	23031744.78
37	22742972.63
38	22516793.88
39	22293493.7
40	21960514.12
41	21715476.48
42	21515245.99
43	21262585.58
44	21048859.48
45	20821096.72
46	20579259.14
47	20371455.98
48	20225351.45
49	20047256.15
50	19872310.17
51	19607294.16
52	19455424.04
53	19281998.22
54	19135184.94
55	19015925.35
56	18819108.68
57	18657952.93
58	18538014.4
59	18318235.85
60	18138736.76
61	17998201.74
62	17837037.56
63	17696815.17
64	17517190.21
65	17385772.38
66	17231492.48
67	17067490.36
68	16919067.21
69	16806317.06
70	16679207.65
71	16568881.48
72	16468688.2
73	16353289.15
74	16237222.92
75	16122178.08
76	16001637.01
77	15860312.67
78	15791129.78
79	15699398.47
80	15633681.67
81	15547354.37
82	15449658.06
83	15412799.95
84	15314211.89
85	15237204.26
86	15135271.85
87	15062374.53
88	14974807.47
89	14877521.04
90	14794533.42
91	14728263.65
92	14659168.65
93	14604701.49
94	14568029.66
95	14493291.21
96	14427436.55
97	14340217.76
98	14316003.49
99	14274585.5
100	14170226.74
101	14114321.05
102	14055494.03
103	13975234.11
104	13920214.25
105	13880631.71
106	13806345.97
107	13751393.33
108	13711008.79
109	13694350.69
110	13665126.89
111	13617970.99
112	13583885.47
113	13530175.77
114	13488295.68
115	13413965.31
116	13345913.02
117	13322426.59
118	13272464.99
119	13215009.57
120	13136629.3
121	13101406.13
122	13030061.04
123	12978491.7
124	12921915.93
125	12910896.32
126	12845028.64
127	12806020.18
128	12717761.01
129	12670353.64
130	12659842.16
131	12627788.41
132	12568699.17
133	12508485.96
134	12445672.3
135	12404369.49
136	12351317.75
137	12302565.03
138	12272846.77
139	12241782.82
140	12203824.54
141	12169162.01
142	12158507.94
143	12112751.76
144	12074523.84
145	11981036.82
146	11935285.87
147	11895108.55
148	11844566.22
149	11793377.48
150	11759888.23
151	11680874.73
152	11651469.76
153	11604767.99
154	11554233.5
155	11526421.63
156	11488183.75
157	11430503.06
158	11388645.94
159	11343683.89
160	11323320.69
161	11282999.82
162	11201505.32
163	11174718.62
164	11137511.46
165	11094661.78
166	11050192.03
167	11024594.81
168	10998739.83
169	10974677.45
170	10933644.22
171	10909511.25
172	10898844.22
173	10893080.8
174	10821554.43
175	10743461.23
176	10727680.64
177	10708217.14
178	10674886.83
179	10639942.13
180	10623825.14
181	10609181.85
182	10587805.03
183	10566496.57
184	10560774.79
185	10527260.68
186	10466618.43
187	10441546.75
188	10404944.21
189	10392438.39
190	10374396.06
191	10334465.25
192	10272645.04
193	10243777.31
194	10188465.7
195	10161310.52
196	10124512.48
197	10053041.02
198	10034719.56
199	10019537.12
200	10004495.34
201	9972307.62
202	9938570.394
203	9921953.302
204	9858777.59
205	9833525.202
206	9815377.257
207	9777682.475
208	9741404.901
209	9720957.248
210	9687378.18
211	9660894.117
212	9606093.107
213	9578286.711
214	9560300.238
215	9500392.936
216	9476813.82
217	9446437.213
218	9418431.396
219	9385757.267
220	9346487.853
221	9326300.185
222	9299479.959
223	9282981.043
224	9267132.408
225	9249059.495
226	9223395.448
227	9195958.631
228	9143636.422
229	9099696.404
230	9075878.365
231	9045234.166
232	9024232.214
233	8999367.883
234	8950391.733
235	8935343.23
236	8918076.632
237	8901554.227
238	8880708.363
239	8830072.43
240	8814120.682
241	8800392.915
242	8785775.619
243	8770676.273
244	8704676.629
245	8691870.486
246	8661579.952
247	8648553.095
248	8633004.523
249	8606002.414
250	8568148.453
251	8546641.756
252	8534388.776
253	8508080.919
254	8468422.869
255	8442390.348
256	8420265.055
257	8395223.864
258	8384119.403
259	8354492.938
260	8314008.003
261	8290430.465
262	8263187.065
263	8252529.59
264	8241810.413
265	8231613.837
266	8207690.342
267	8194271.49
268	8171830.602
269	8160862.188
270	8149840.845
271	8118098.029
272	8094107.222
273	8052398.723
274	8027894.241
275	8002901.699
276	7969397.962
277	7949152.696
278	7928622.368
279	7921948.55
280	7859345.238
281	7848180.34
282	7825946.281
283	7802191.435
284	7776841.006
285	7770589.751
286	7761757.402
287	7753047.485
288	7731945.06
289	7714931.966
290	7687324.26
291	7661596.259
292	7646828.07
293	7629124.43
294	7623977.791
295	7618962.231
296	7592842.781
297	7558089.531
298	7503994.591
299	7479818.243
300	7449572.021
301	7434680.993
302	7421919.899
303	7415728.653
304	7398531.393
305	7391000.605
306	7371284.179
307	7349656.727
308	7332349.939
309	7313556.396
310	7306563.485
311	7288834.075
312	7271854.191
313	7264702.68
314	7246730.384
315	7242344.014
316	7224095.384
317	7218891.711
318	7214195.843
319	7194726.267
320	7176496.672
321	7169851.318
322	7161998.734
323	7155525.673
324	7138233.958
325	7115893.171
326	7077456.782
327	7062534.284
328	7040641.574
329	7036798.04
330	7029398.345
331	7007519.709
332	6992897.802
333	6985875.514
334	6964830.892
335	6957999.594
336	6936344.564
337	6900867.666
338	6879338.932
339	6858681.188
340	6842898.517
341	6822744.685
342	6789500.294
343	6773650.988
344	6765757.269
345	6752762.802
346	6747094.377
347	6733735.869
348	6718388.483
349	6700972.846
350	6681532.042
351	6663246.764
352	6637667.199
353	6619734.359
354	6601974.091
355	6581355.432
356	6578341.82
357	6573300.533
358	6553768.767
359	6533157.992
360	6520187.516
361	6514520.963
362	6497768.178
363	6490236.52
364	6462212.345
365	6439859.289
366	6435909.259
367	6406438.292
368	6400036.647
369	6394843.214
370	6372938.807
371	6370094.409
372	6354117.905
373	6335315.457
374	6306924.063
375	6301620.238
376	6286147.251
377	6267886.803
378	6255583.07
379	6237526.814
380	6232334.936
381	6205794.802
382	6183545.697
383	6166940.067
384	6153582.132
385	6149360.287
386	6129121.464
387	6114380.012
388	6109411.292
389	6090958.734
390	6055271.2
391	6042168.553
392	6028713.985
393	5988704.647
394	5973789.895
395	5962748.259
396	5952190.858
397	5948986.785
398	5938623.055
399	5928124.115
400	5913358.423
401	5886205.117
402	5870343.029
403	5852532.389
404	5840176.313
405	5835279.332
406	5818519.503
407	5813697.169
408	5810114.226
409	5791699.822
410	5787136.05
411	5782655.141
412	5770101.723
413	5740282.416
414	5730430.171
415	5727056.642
416	5709944.189
417	5691937.39
418	5687854.662
419	5673071.703
420	5663176.128
421	5653953.413
422	5638522.377
423	5634165.494
424	5617448.696
425	5603491.072
426	5569844.708
427	5565680.664
428	5541538.129
429	5538393.438
430	5535314.519
431	5530655.898
432	5528269.227
433	5519640.3
434	5511671.372
435	5508007.965
436	5484972.684
437	5462300.418
438	5446333.074
439	5429301.821
440	5426445.85
441	5413809.139
442	5411039
443	5408326.901
444	5404107.105
445	5390763.352
446	5388684.148
447	5374586.715
448	5372517.06
449	5362277.304
450	5356840.775
451	5354247.776
452	5341913.866
453	5339943.445
454	5309368.218
455	5303469.984
456	5296409.573
457	5287505.609
458	5271305.065
459	5262306.426
460	5250497.932
461	5244678.157
462	5233064.426
463	5217199.517
464	5200823.129
465	5190187.926
466	5184859.893
467	5168026.7
468	5155545.247
469	5146962.79
470	5138726.003
471	5133269.38
472	5130964.345
473	5112028.877
474	5107369.385
475	5101255.653
476	5099575.928
477	5081477.352
478	5070187.931
479	5061050.144
480	5050146.953
481	5036924.723
482	5023851.374
483	5014243.544
484	5006564.979
485	5001590.69
486	4989529.132
487	4979988.412
488	4975969.128
489	4965617.968
490	4951116.199
491	4947759.979
492	4944098.531
493	4923997.916
494	4911298.419
495	4900085.699
496	4892453.681
497	4888176.742
498	4885044.219
499	4873033.059
500	4871544.224
501	4858448.234
502	4856304.079
503	4845637.202
504	4844379.307
505	4842317.755
506	4829640.045
507	4826602.888
508	4814128.39
509	4801896.6
510	4798485.319
511	4788001.704
512	4785076.496
513	4783125.855
514	4780216.073
515	4778315.215
516	4775362.98
517	4766376.671
518	4757724.773
519	4753599.441
520	4735610.233
521	4722611.126
522	4702037.78
523	4699145.16
524	4679783.496
525	4667434.007
526	4656728.096
527	4653137.434
528	4650604.12
529	4639807.442
530	4631448.141
531	4628710.2
532	4615902.031
533	4601547.188
534	4594634.819
535	4575859.095
536	4573332.169
537	4564819.581
538	4556527.226
539	4551841.94
540	4547298.634
541	4539333.52
542	4536113.379
543	4530873.035
544	4523838.186
545	4517299.766
546	4513964.38
547	4509670.926
548	4495361.489
549	4476828.332
550	4473169.622
551	4470085.823
552	4461479.067
553	4451973.328
554	4437614.433
555	4426796.225
556	4422640.914
557	4414613.518
558	4407044.071
559	4402819.847
560	4399835.36
561	4388858.46
562	4379573.015
563	4376147.802
564	4366486.845
565	4358901.26
566	4346762.99
567	4344895.322
568	4338064.487
569	4331764.523
570	4325106.29
571	4307998.519
572	4302420.801
573	4293283.182
574	4290251.308
575	4282023.352
576	4275853.51
577	4271954.263
578	4259038.681
579	4250234.468
580	4237432.625
581	4230600.658
582	4218769.893
583	4212322.716
584	4210541.141
585	4208431.629
586	4199807.07
587	4196769.264
588	4191930.959
589	4176848.033
590	4165382.633
591	4157366.075
592	4150653.64
593	4148143.222
594	4140601.695
595	4138110.552
596	4130088.429
597	4123899.785
598	4114753.251
599	4112263.414
600	4101725.033
601	4098958.866
602	4090951.515
603	4088533.025
604	4080955.071
605	4072345.701
606	4065749.045
607	4054834.279
608	4047167
609	4040393.008
610	4035982.077
611	4033603.71
612	4022742.678
613	4019119.775
614	4011941.519
615	4005482.219
616	4004418.054
617	4002092.578
618	3995787.412
619	3993694.344
620	3989112.331
621	3986352.433
622	3982955.171
623	3979093.716
624	3967350.699
625	3962580.886
626	3954691.503
627	3947624.542
628	3937857.051
629	3927699.651
630	3922436.339
631	3908530.955
632	3895861.654
633	3888748.049
634	3884167.2
635	3866424.173
636	3854135.883
637	3850445.12
638	3848072.041
639	3840199.838
640	3834848.086
641	3823025.795
642	3818769.931
643	3817849.267
644	3812143.159
645	3809770.898
646	3804331.29
647	3797715.893
648	3789008.353
649	3776845.334
650	3768408.674
651	3763538.484
652	3758633.533
653	3753235.646
654	3746358.589
655	3735475.283
656	3732156.821
657	3728926.314
658	3725102.525
659	3721334.168
660	3708064.86
661	3704984.097
662	3702005.286
663	3697062.35
664	3691901.385
665	3688132.711
666	3684850.233
667	3681488.421
668	3679497.877
669	3667780.751
670	3665598.297
671	3663183.357
672	3660453.788
673	3653563.289
674	3648465.17
675	3643326.086
676	3636362.429
677	3632179.552
678	3616797.741
679	3605848.216
680	3604129.282
681	3589817.947
682	3580114.368
683	3575047.047
684	3571088.891
685	3565963.233
686	3564202.764
687	3560052.904
688	3554256.094
689	3545237.816
690	3543039.526
691	3538411.29
692	3524224.631
693	3515492.449
694	3510476.565
695	3507212.569
696	3502967.262
697	3496524.122
698	3494382.932
699	3491130.593
700	3488182.168
701	3486377.883
702	3474929.32
703	3472067.304
704	3468275.319
705	3465468.189
706	3464607.547
707	3461018.621
708	3459459.851
709	3451484.437
710	3443083.282
711	3437652.387
712	3432430.386
713	3430473.234
714	3425899.657
715	3420912.779
716	3416238.828
717	3410724.252
718	3407685.814
719	3399732.677
720	3395906.097
721	3391358.796
722	3383066.887
723	3374877.861
724	3369978.948
725	3366761.779
726	3362689.626
727	3357017.696
728	3352584.105
729	3347183.158
730	3344537.446
731	3340327.384
732	3333511.357
733	3330059.876
734	3326697.763
735	3324409.458
736	3318642.659
737	3315821.797
738	3309842.398
739	3305675.471
740	3297013.446
741	3292164.49
742	3285856.093
743	3282766.726
744	3276725.475
745	3272047.296
746	3264590.779
747	3262327.678
748	3259617.025
749	3256455.102
750	3250042.886
751	3246004.045
752	3242140.731
753	3234981.501
754	3229061.798
755	3226937.924
756	3225336.272
757	3218283.193
758	3213913.578
759	3203821.387
760	3199560.472
761	3196046.898
762	3193517.862
763	3183854.648
764	3180667.669
765	3177915.725
766	3173776.285
767	3169755.335
768	3164646.363
769	3161076.167
770	3157656.901
771	3155297.009
772	3152655.232
773	3151159.428
774	3149350.352
775	3142546.751
776	3138073.225
777	3135458.511
778	3131803.074
779	3130122.761
780	3125977.185
781	3124354.435
782	3119863.14
783	3112238.038
784	3105735.196
785	3102820.833
786	3099645.117
787	3092275.251
788	3084452.983
789	3080829.192
790	3075565.755
791	3074144.108
792	3072681.221
793	3069263.453
794	3068056.85
795	3066827.956
796	3061288.569
797	3053527.24
798	3045754.934
799	3041232.102
800	3034237.953
801	3031774.486
802	3026132.183
803	3019917.214
804	3016057.135
805	3011016.514
806	3009702.277
807	3008068.86
808	3005754.165
809	2999868.075
810	2993078.303
811	2990307.622
812	2985585.137
813	2980536.138
814	2977885.834
815	2972618.645
816	2971464.11
817	2969588.814
818	2962538.529
819	2959177.67
820	2953534.928
821	2951555.018
822	2951024.419
823	2949367.334
824	2947657.285
825	2944559.841
826	2942624.324
827	2936319.959
828	2933216.975
829	2927699.474
830	2926729.69
831	2925864.204
832	2924843.66
833	2922608.832
834	2920737.159
835	2914353.644
836	2904421.012
837	2903104.367
838	2900636.644
839	2899467.596
840	2896291.096
841	2894184.774
842	2889689.556
843	2888767.172
844	2881553.259
845	2880179.494
846	2878305.453
847	2873947.081
848	2871874.852
849	2870512.698
850	2867488.768
851	2862798.29
852	2857719.353
853	2851312.97
854	2849851.124
855	2845952.288
856	2840771.818
857	2838075.147
858	2834406.776
859	2829014.986
860	2824490.95
861	2823402.454
862	2818417.064
863	2814370.049
864	2812273.547
865	2807116.807
866	2805779.247
867	2805170.469
868	2802255.545
869	2798780.676
870	2794893.253
871	2789271.447
872	2782111.92
873	2773670.282
874	2772415.624
875	2767259.827
876	2764579.791
877	2761455.917
878	2753576.527
879	2751272.936
880	2748854.639
881	2747699.815
882	2744178.153
883	2743063.061
884	2739264.537
885	2736297.753
886	2731556.624
887	2726941.836
888	2723154.635
889	2719124.858
890	2717621.976
891	2710773.635
892	2704147.117
893	2699225.388
894	2695304.763
895	2691239.699
896	2685922.059
897	2683166.78
898	2680186.744
899	2677411.759
900	2676100.148
901	2674103.77
902	2671499.789
903	2666689.201
904	2660894.585
905	2657727.417
906	2656354.25
907	2650652.596
908	2648123.931
909	2643935.093
910	2635913.879
911	2635026.506
912	2633337.537
913	2632272.559
914	2630088.985
915	2625767.9
916	2623745.073
917	2620945.853
918	2616865.412
919	2612679.834
