iter	Passed	Remaining
0	3	3688
1	7	3862
2	10	3489
3	12	3225
4	14	2961
5	16	2805
6	19	2734
7	21	2647
8	23	2593
9	25	2546
10	27	2491
11	30	2488
12	32	2436
13	33	2394
14	38	2532
15	40	2498
16	44	2563
17	46	2527
18	48	2506
19	50	2473
20	52	2448
21	55	2489
22	58	2469
23	60	2449
24	62	2431
25	64	2406
26	66	2398
27	68	2375
28	70	2354
29	72	2336
30	74	2325
31	76	2312
32	78	2298
33	80	2283
34	82	2270
35	84	2261
36	86	2248
37	88	2237
38	90	2225
39	92	2215
40	94	2201
41	95	2189
42	97	2178
43	99	2165
44	102	2174
45	104	2177
46	106	2168
47	108	2156
48	110	2149
49	112	2144
50	114	2135
51	116	2131
52	119	2128
53	120	2118
54	122	2108
55	123	2090
56	125	2080
57	127	2074
58	129	2065
59	131	2057
60	133	2053
61	135	2046
62	137	2038
63	138	2032
64	140	2026
65	142	2018
66	144	2016
67	146	2011
68	148	2004
69	150	1998
70	152	1993
71	154	1990
72	156	1984
73	158	1977
74	159	1971
75	161	1965
76	163	1959
77	165	1952
78	166	1946
79	168	1942
80	170	1936
81	172	1933
82	174	1930
83	176	1926
84	178	1921
85	180	1920
86	182	1916
87	185	1920
88	187	1923
89	190	1921
90	192	1920
91	194	1921
92	196	1918
93	198	1917
94	201	1918
95	203	1917
96	205	1913
97	207	1912
98	209	1908
99	211	1906
100	214	1905
101	216	1903
102	218	1900
103	220	1899
104	222	1895
105	224	1893
106	226	1890
107	230	1902
108	233	1910
109	235	1906
110	239	1921
111	244	1935
112	246	1932
113	248	1929
114	251	1936
115	253	1933
116	256	1934
117	258	1930
118	260	1927
119	262	1925
120	264	1922
121	266	1919
122	268	1917
123	270	1913
124	272	1909
125	273	1900
126	276	1898
127	278	1897
128	280	1893
129	282	1891
130	283	1880
131	285	1878
132	287	1875
133	289	1873
134	292	1871
135	294	1869
136	296	1867
137	298	1864
138	300	1862
139	302	1857
140	304	1855
141	306	1851
142	308	1848
143	310	1845
144	312	1843
145	315	1844
146	317	1841
147	319	1838
148	321	1835
149	323	1833
150	325	1830
151	327	1828
152	330	1828
153	332	1826
154	334	1823
155	336	1821
156	339	1822
157	341	1819
158	343	1817
159	346	1819
160	348	1817
161	352	1823
162	355	1822
163	357	1821
164	359	1818
165	361	1815
166	363	1812
167	366	1813
168	368	1811
169	371	1816
170	374	1814
171	376	1812
172	379	1812
173	381	1809
174	383	1806
175	385	1803
176	387	1800
177	388	1796
178	391	1793
179	393	1790
180	395	1787
181	397	1785
182	399	1782
183	401	1779
184	403	1776
185	405	1773
186	407	1770
187	409	1768
188	411	1764
189	413	1761
190	415	1758
191	417	1755
192	419	1753
193	425	1765
194	429	1774
195	434	1783
196	437	1782
197	440	1783
198	442	1782
199	448	1792
200	453	1801
201	456	1804
202	460	1808
203	463	1809
204	470	1825
205	474	1826
206	477	1830
207	481	1834
208	485	1836
209	491	1848
210	493	1846
211	496	1845
212	498	1843
213	501	1842
214	503	1840
215	506	1837
216	508	1835
217	511	1836
218	514	1835
219	518	1837
220	523	1845
221	525	1843
222	528	1839
223	529	1835
224	531	1831
225	533	1828
226	535	1824
227	538	1822
228	540	1821
229	544	1823
230	551	1835
231	553	1833
232	558	1838
233	562	1842
234	565	1839
235	567	1835
236	569	1833
237	571	1831
238	573	1827
239	576	1824
240	578	1820
241	580	1817
242	582	1814
243	584	1810
244	586	1807
245	588	1803
246	590	1800
